t,actual,regular
468,0.69,0.69
469,0.69,0.69
470,0.69,0.69
471,0.69,0.69
472,0.69,0.69
473,0.69,0.69
474,0.69,0.69
475,0.69,0.69
476,0.69,0.69
477,0.69,0.69
478,0.69,0.69
479,0.69,0.69
480,0.69,0.69
481,0.69,0.69
482,0.69,0.69
483,0.69,0.69
484,0.69,0.69
485,0.69,0.69
486,0.69,0.69
487,0.69,0.69
488,0.69,0.69
489,0.69,0.69
490,0.69,0.69
491,0.89,0.89
492,0.89,0.89
493,0.89,0.89
494,0.89,0.89
495,0.89,0.89
496,0.89,0.89
497,0.89,0.89
498,0.69,0.89
499,0.69,0.89
500,0.69,0.89
501,0.69,0.89
502,0.69,0.89
503,0.69,0.89
504,0.69,0.89
505,0.69,0.89
506,0.69,0.89
507,0.69,0.89
508,0.69,0.89
509,0.69,0.89
510,0.69,0.89
511,0.69,0.89
512,0.89,0.89
513,0.89,0.89
514,0.89,0.89
515,0.89,0.89
516,0.89,0.89
517,0.89,0.89
518,0.89,0.89
519,0.89,0.89
520,0.89,0.89
521,0.89,0.89
522,0.89,0.89
523,0.89,0.89
524,0.89,0.89
525,0.89,0.89
526,0.89,0.89
527,0.89,0.89
528,0.89,0.89
529,0.89,0.89
530,0.89,0.89
531,0.89,0.89
532,0.89,0.89
533,0.89,0.89
534,0.89,0.89
535,0.89,0.89
536,0.89,0.89
537,0.89,0.89
538,0.89,0.89
539,0.89,0.89
540,0.89,0.89
541,0.89,0.89
542,0.89,0.89
543,0.89,0.89
544,0.89,0.89
545,0.89,0.89
546,0.89,0.89
547,0.89,0.89
548,0.89,0.89
549,0.89,0.89
550,0.89,0.89
551,0.89,0.89
552,0.89,0.89
553,0.89,0.89
554,0.69,0.89
555,0.69,0.89
556,0.69,0.89
557,0.69,0.89
558,0.69,0.89
559,0.69,0.89
560,0.69,0.89
561,0.89,0.89
562,0.89,0.89
563,0.89,0.89
564,0.89,0.89
565,0.89,0.89
566,0.89,0.89
567,0.89,0.89
568,0.89,0.89
569,0.89,0.89
570,0.89,0.89
571,0.89,0.89
572,0.89,0.89
573,0.89,0.89
574,0.89,0.89
575,0.89,0.89
576,0.89,0.89
577,0.89,0.89
578,0.89,0.89
579,0.89,0.89
580,0.89,0.89
581,0.89,0.89
582,0.89,0.89
583,0.89,0.89
584,0.89,0.89
585,0.89,0.89
586,0.89,0.89
587,0.89,0.89
588,0.89,0.89
589,0.89,0.89
590,0.89,0.89
591,0.89,0.89
592,0.89,0.89
593,0.89,0.89
594,0.89,0.89
595,0.89,0.89
596,0.89,0.89
597,0.89,0.89
598,0.89,0.89
599,0.89,0.89
600,0.89,0.89
601,0.89,0.89
602,0.89,0.89
603,0.89,0.89
604,0.89,0.89
605,0.89,0.89
606,0.89,0.89
607,0.89,0.89
608,0.89,0.89
609,0.89,0.89
610,0.89,0.89
611,0.89,0.89
612,0.89,0.89
613,0.89,0.89
614,0.89,0.89
615,0.89,0.89
616,0.89,0.89
617,0.89,0.89
618,0.89,0.89
619,0.89,0.89
620,0.89,0.89
621,0.89,0.89
622,0.89,0.89
623,0.89,0.89
624,0.89,0.89
625,0.89,0.89
626,0.89,0.89
627,0.89,0.89
628,0.89,0.89
629,0.89,0.89
630,0.89,0.89
631,0.89,0.89
632,0.89,0.89
633,0.89,0.89
634,0.89,0.89
635,0.89,0.89
636,0.89,0.89
637,0.89,0.89
638,0.89,0.89
639,0.89,0.89
640,0.89,0.89
641,0.89,0.89
642,0.89,0.89
643,0.89,0.89
644,0.89,0.89
645,0.89,0.89
646,0.89,0.89
647,0.89,0.89
648,0.89,0.89
649,0.89,0.89
650,0.89,0.89
651,0.89,0.89
652,0.89,0.89
653,0.89,0.89
654,0.89,0.89
655,0.89,0.89
656,0.89,0.89
657,0.89,0.89
658,0.89,0.89
659,0.89,0.89
660,0.89,0.89
661,0.89,0.89
662,0.89,0.89
663,0.89,0.89
664,0.89,0.89
665,0.89,0.89
666,0.89,0.89
667,0.89,0.89
668,0.89,0.89
669,0.89,0.89
670,0.89,0.89
671,0.89,0.89
672,0.89,0.89
673,0.89,0.89
674,0.89,0.89
675,0.89,0.89
676,0.89,0.89
677,0.89,0.89
678,0.89,0.89
679,0.89,0.89
680,0.89,0.89
681,0.89,0.89
682,0.89,0.89
683,0.89,0.89
684,0.89,0.89
685,0.89,0.89
686,0.89,0.89
687,0.89,0.89
688,0.89,0.89
689,0.89,0.89
690,0.89,0.89
691,0.89,0.89
692,0.89,0.89
693,0.89,0.89
694,0.89,0.89
695,0.89,0.89
696,0.89,0.89
697,0.89,0.89
698,0.89,0.89
699,0.89,0.89
700,0.89,0.89
701,0.89,0.89
702,0.89,0.89
703,0.89,0.89
704,0.89,0.89
705,0.89,0.89
706,0.89,0.89
707,0.89,0.89
708,0.89,0.89
709,0.89,0.89
710,0.89,0.89
711,0.89,0.89
712,0.89,0.89
713,0.89,0.89
714,0.89,0.89
715,0.59,0.59
716,0.59,0.59
717,0.59,0.59
718,0.59,0.59
719,0.59,0.59
720,0.59,0.59
721,0.59,0.59
722,0.59,0.59
723,0.59,0.59
724,0.59,0.59
725,0.59,0.59
726,0.59,0.59
727,0.59,0.59
728,0.59,0.59
729,0.59,0.59
730,0.59,0.59
731,0.59,0.59
732,0.59,0.59
733,0.59,0.59
734,0.59,0.59
735,0.59,0.59
736,0.59,0.59
737,0.59,0.59
738,0.59,0.59
739,0.59,0.59
740,0.59,0.59
741,0.59,0.59
742,0.59,0.59
743,0.59,0.59
744,0.59,0.59
745,0.59,0.59
746,0.59,0.59
747,0.59,0.59
748,0.59,0.59
749,0.59,0.59
750,0.59,0.59
751,0.59,0.59
752,0.59,0.59
753,0.59,0.59
754,0.59,0.59
755,0.59,0.59
756,0.59,0.59
757,0.59,0.59
758,0.59,0.59
759,0.59,0.59
760,0.59,0.59
761,0.59,0.59
762,0.59,0.59
763,0.59,0.59
764,0.89,0.89
765,0.89,0.89
766,0.89,0.89
767,0.89,0.89
768,0.89,0.89
769,0.89,0.89
770,0.89,0.89
771,0.89,0.89
772,0.89,0.89
773,0.89,0.89
774,0.89,0.89
775,0.89,0.89
776,0.89,0.89
777,0.89,0.89
778,0.89,0.89
779,0.89,0.89
780,0.89,0.89
781,0.89,0.89
782,0.89,0.89
783,0.89,0.89
784,0.89,0.89
785,0.89,0.89
786,0.89,0.89
787,0.89,0.89
788,0.89,0.89
789,0.89,0.89
790,0.89,0.89
791,0.89,0.89
792,0.89,0.89
793,0.89,0.89
794,0.89,0.89
795,0.89,0.89
796,0.89,0.89
797,0.89,0.89
798,0.89,0.89
799,0.89,0.89
800,0.89,0.89
801,0.89,0.89
802,0.89,0.89
803,0.89,0.89
804,0.89,0.89
805,0.89,0.89
806,0.89,0.89
807,0.89,0.89
808,0.89,0.89
809,0.89,0.89
810,0.89,0.89
811,0.89,0.89
812,0.89,0.89
813,0.89,0.89
814,0.89,0.89
815,0.89,0.89
816,0.89,0.89
817,0.89,0.89
818,0.89,0.89
819,0.89,0.89
820,0.89,0.89
821,0.89,0.89
822,0.89,0.89
823,0.89,0.89
824,0.89,0.89
825,0.89,0.89
826,0.89,0.89
827,0.89,0.89
828,0.89,0.89
829,0.89,0.89
830,0.89,0.89
831,0.89,0.89
832,0.89,0.89
833,0.89,0.89
834,0.89,0.89
835,0.89,0.89
836,0.89,0.89
837,0.89,0.89
838,0.89,0.89
839,0.89,0.89
840,0.89,0.89
841,0.89,0.89
842,0.89,0.89
843,0.89,0.89
844,0.89,0.89
845,0.89,0.89
846,0.89,0.89
847,0.89,0.89
848,0.89,0.89
849,0.89,0.89
850,0.89,0.89
851,0.89,0.89
852,0.89,0.89
853,0.89,0.89
854,0.89,0.89
855,0.89,0.89
856,0.89,0.89
857,0.89,0.89
858,0.89,0.89
859,0.89,0.89
860,0.89,0.89
861,0.89,0.89
